Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,LAU_CFM,BA4_CFM,CDR_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-02-07 20:46:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:47:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:48:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:49:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:50:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:51:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:52:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:53:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:54:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:55:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:56:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:57:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:58:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 20:59:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:00:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:01:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:02:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:03:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:04:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:05:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:06:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:07:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:08:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:09:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:10:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
2017-02-07 21:11:00,95,0,0,100,111,0,NA,NA,306,0,0,306,NA,NA,NA
