Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,LAU_CFM,LAU2_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-10-17 08:08:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:09:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:10:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:11:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:12:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:13:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:14:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:15:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:16:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:17:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:18:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:19:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:20:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:21:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:22:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:23:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:24:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:25:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:26:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
2016-10-17 08:27:00,0,0,0,0,0,102,0,0,0,102,0,0,102,42.1167504945913,114.308220010069,0.221241716148521
