Time,BA1_CFM,BA2_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-29 20:04:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:05:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:06:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:07:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:08:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:09:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:10:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:11:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:12:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:13:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:14:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:15:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:16:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:17:00,0,0,112,0,0,112,0,0,112,13.3556981567684,113.422948265436,0.457996964528311
2017-06-29 20:18:00,0,0,112,0,0,112,0,0,112,13.3556981567684,113.422948265436,0.457996964528311
2017-06-29 20:19:00,0,0,112,0,0,112,0,0,112,13.3556981567684,113.422948265436,0.457996964528311
2017-06-29 20:20:00,0,0,112,0,0,112,0,0,112,13.3556981567684,113.422948265436,0.457996964528311
2017-06-29 20:21:00,0,0,112,0,0,112,0,0,112,13.3556981567684,113.422948265436,0.457996964528311
2017-06-29 20:22:00,0,0,112,0,0,112,0,0,112,13.3556981567684,113.422948265436,0.457996964528311
2017-06-29 20:23:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 20:24:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 20:25:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 20:26:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 20:27:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 20:28:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 20:29:00,0,0,112,0,0,112,0,0,112,13.0728154885623,113.366392082328,0.457768593104493
2017-06-29 20:30:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 20:31:00,0,0,112,0,0,112,0,0,112,13.2134239804746,113.394375840365,0.457881590310378
2017-06-29 20:32:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:33:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:34:00,0,0,112,0,0,112,0,0,112,13.4994120331705,113.452071545906,0.458114563076544
2017-06-29 20:35:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:36:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:37:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:38:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:39:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:40:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:41:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:42:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:43:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:44:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:45:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:46:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:47:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:48:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:49:00,0,0,112,0,0,112,0,0,112,13.7904003763608,113.511841459852,0.458355911406629
2017-06-29 20:50:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:51:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:52:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:53:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:54:00,0,0,112,0,0,112,0,0,112,13.644369744604,113.481712440485,0.458234251728185
2017-06-29 20:55:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 20:56:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 20:57:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 20:58:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 20:59:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 21:00:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 21:01:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 21:02:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 21:03:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 21:04:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 21:05:00,0,0,112,0,0,112,0,0,112,17.518788745578,114.369601832172,0.461819510729545
2017-06-29 21:06:00,0,0,112,0,0,112,0,0,112,17.518788745578,114.369601832172,0.461819510729545
2017-06-29 21:07:00,0,0,112,0,0,112,0,0,112,17.518788745578,114.369601832172,0.461819510729545
2017-06-29 21:08:00,0,0,112,0,0,112,0,0,112,17.518788745578,114.369601832172,0.461819510729545
2017-06-29 21:09:00,0,0,112,0,0,112,0,0,112,17.518788745578,114.369601832172,0.461819510729545
2017-06-29 21:10:00,0,0,112,0,0,112,0,0,112,17.518788745578,114.369601832172,0.461819510729545
2017-06-29 21:11:00,0,0,112,0,0,112,0,0,112,17.518788745578,114.369601832172,0.461819510729545
2017-06-29 21:12:00,0,0,112,0,0,112,0,0,112,17.518788745578,114.369601832172,0.461819510729545
2017-06-29 21:13:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 21:14:00,0,0,112,0,0,112,0,0,112,17.3874185173405,114.336566616457,0.461686115955812
2017-06-29 21:15:00,0,0,112,0,0,112,0,0,112,17.2564853627196,114.303840199879,0.461553968099654
2017-06-29 21:16:00,0,0,112,0,0,112,0,0,112,17.2564853627196,114.303840199879,0.461553968099654
2017-06-29 21:17:00,0,0,112,0,0,112,0,0,112,17.1260425287175,114.271434382651,0.461423114809818
2017-06-29 21:18:00,0,0,112,0,0,112,0,0,112,17.1260425287175,114.271434382651,0.461423114809818
2017-06-29 21:19:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:20:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:21:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:22:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:23:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:24:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:25:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:26:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:27:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:28:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:29:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:30:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:31:00,0,0,112,0,0,112,0,0,112,16.8668654720692,114.207636150773,0.461165500305966
2017-06-29 21:32:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:33:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:34:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:35:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:36:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:37:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:38:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:39:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:40:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:41:00,0,0,112,0,0,112,0,0,112,16.9961480815537,114.239361825188,0.461293607208511
2017-06-29 21:42:00,0,0,112,0,0,112,0,0,112,17.1260425287175,114.271434382651,0.461423114809818
2017-06-29 21:43:00,0,0,112,0,0,112,0,0,112,17.1260425287175,114.271434382651,0.461423114809818
2017-06-29 21:44:00,0,0,112,0,0,112,0,0,112,17.1260425287175,114.271434382651,0.461423114809818
