Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-08-21 20:32:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:33:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:34:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:35:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:36:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:37:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:38:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:39:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:40:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:41:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:42:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:43:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:44:00,0,0,0,0,0,109,0,0,109,0,0,109,47.6635034916046,123.501204903897,0.259274747873822
2017-08-21 20:45:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:46:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:47:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:48:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:49:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:50:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:51:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:52:00,0,0,0,0,0,109,0,0,109,0,0,109,47.2479791293423,123.287362590199,0.258825813695309
2017-08-21 20:53:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 20:54:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 20:55:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 20:56:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 20:57:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 20:58:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 20:59:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:00:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:01:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:02:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:03:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:04:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:05:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:06:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:07:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:08:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:09:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:10:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:11:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:12:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:13:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:14:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:15:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:16:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:17:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:18:00,0,0,0,0,0,109,0,0,109,0,0,109,46.2101917351457,122.758000014862,0.257714485685505
2017-08-21 21:19:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:20:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:21:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:22:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:23:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:24:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:25:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:26:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:27:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:28:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:29:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:30:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:31:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:32:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:33:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:34:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:35:00,0,0,0,0,0,109,0,0,109,0,0,109,45.7729677735973,122.537018827911,0.257250564369301
2017-08-21 21:36:00,0,0,0,0,0,109,0,0,109,0,0,109,45.3336407823337,122.316208806868,0.256787002393704
2017-08-21 21:37:00,0,0,0,0,0,109,0,0,109,0,0,109,45.3336407823337,122.316208806868,0.256787002393704
2017-08-21 21:38:00,0,0,0,0,0,109,0,0,109,0,0,109,45.3336407823337,122.316208806868,0.256787002393704
2017-08-21 21:39:00,0,0,0,0,0,109,0,0,109,0,0,109,45.3336407823337,122.316208806868,0.256787002393704
2017-08-21 21:40:00,0,0,0,0,0,109,0,0,109,0,0,109,45.3336407823337,122.316208806868,0.256787002393704
2017-08-21 21:41:00,0,0,0,0,0,109,0,0,109,0,0,109,45.3336407823337,122.316208806868,0.256787002393704
