Time,BA1_CFM,TO1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,BA5_CFM,BA6_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2016-09-20 21:06:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:07:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:08:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:09:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:10:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:11:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:12:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:13:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:14:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:15:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:16:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:17:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:18:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:19:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:20:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:21:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:22:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:23:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:24:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:25:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:26:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:27:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:28:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:29:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:30:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.15614373,199.5137769,0.284884022
2016-09-20 21:31:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:32:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:33:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:34:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:35:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:36:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:37:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:38:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:39:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:40:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:41:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:42:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.33127283,199.5886495,0.284990932
2016-09-20 21:43:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.50613634,199.6636254,0.28509799
2016-09-20 21:44:00,0,68,0,0,0,0,0,0,0,0,68,190,68,122,39.50613634,199.6636254,0.28509799
