Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH,
2017-11-07 21:29:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:30:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:31:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:32:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:33:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:34:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:35:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:36:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:37:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:38:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:39:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:40:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:41:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:42:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:43:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:44:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:45:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:46:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:47:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:48:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:49:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:50:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:51:00,0,0,0,0,73,0,0,73,0,0,73,52.95182566,95.26165302,0.240377626,
2017-11-07 21:52:00,0,0,0,100,73,0,0,173,0,0,173,52.95182566,185.4092639,0.46785078,
2017-11-07 21:53:00,0,0,0,100,73,0,0,173,0,0,173,58.23884199,187.6677898,0.47354981,
2017-11-07 21:54:00,0,0,0,100,73,0,0,173,0,0,173,58.23884199,187.6677898,0.47354981,
2017-11-07 21:55:00,0,0,0,100,73,0,0,173,0,0,173,58.23884199,187.6677898,0.47354981,
2017-11-07 21:56:00,0,0,0,100,73,0,0,173,0,0,173,58.23884199,187.6677898,0.47354981,
2017-11-07 21:57:00,0,0,0,100,73,0,0,173,0,0,173,57.97420647,187.5514457,0.473256234,
2017-11-07 21:58:00,0,71,0,0,73,0,0,144,0,0,144,58.23884199,160.7710747,0.405680229,
2017-11-07 21:59:00,0,71,0,0,73,0,0,144,0,0,144,58.23884199,160.7710747,0.405680229,
2017-11-07 22:00:00,0,71,0,0,73,0,0,144,0,0,144,57.97420647,160.6407814,0.405351454,
2017-11-07 22:01:00,0,71,0,0,73,0,0,144,0,0,144,57.97420647,160.6407814,0.405351454,
2017-11-07 22:02:00,0,71,0,0,73,0,0,144,0,0,144,57.97420647,160.6407814,0.405351454,
2017-11-07 22:03:00,0,71,0,0,73,0,0,144,0,0,144,57.97420647,160.6407814,0.405351454,
2017-11-07 22:04:00,0,71,0,0,73,0,0,144,0,0,144,57.97420647,160.6407814,0.405351454,
2017-11-07 22:05:00,0,71,0,0,73,0,0,144,0,0,144,57.97420647,160.6407814,0.405351454,
2017-11-07 22:06:00,0,71,0,0,73,0,0,144,0,0,144,57.97420647,160.6407814,0.405351454,
