Time,BA1_CFM,LAU_CFM,RHD_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-11-13 03:06:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:07:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:08:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:09:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:10:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:11:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:12:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:13:00,54,0,0,54,0,0,54,27.4667803714481,63.2605111007648,0.702894567786276
2017-11-13 03:14:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:15:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:16:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:17:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:18:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:19:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:20:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:21:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:22:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:23:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:24:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:25:00,54,0,0,54,0,0,54,27.3066774660422,63.1708904787787,0.701898783097541
2017-11-13 03:26:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:27:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:28:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:29:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:30:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:31:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:32:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:33:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:34:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:35:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:36:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:37:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:38:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:39:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:40:00,54,0,0,54,0,0,54,27.145862080173,63.081151018492,0.700901677983244
2017-11-13 03:41:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:42:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:43:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
2017-11-13 03:44:00,54,0,0,54,0,0,54,26.984323569695,62.9912922207389,0.699903246897098
