Time,BA1_CFM,BA2_CFM,BA3_CFM,TO1_CFM,BA4_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-06-28 03:12:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:13:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:14:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:15:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:16:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:17:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:18:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:19:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:20:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:21:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:22:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:23:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:24:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:25:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:26:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:27:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:28:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:29:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:30:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:31:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:32:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:33:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:34:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:35:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:36:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:37:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:38:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:39:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:40:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:41:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:42:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:43:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:44:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:45:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:46:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:47:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:48:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:49:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:50:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:51:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:52:00,0,0,0,0,0,108,0,0,108,0,0,108,65.5510219746623,132.758923531721,0.159470178416481
2017-06-28 03:53:00,102,0,0,0,0,108,0,0,210,0,0,210,65.5510219746623,225.593977663845,0.270983756953568
2017-06-28 03:54:00,102,0,0,0,0,108,0,0,210,0,0,210,65.5510219746623,225.593977663845,0.270983756953568
2017-06-28 03:55:00,102,0,0,0,0,108,0,0,210,0,0,210,65.5510219746623,225.593977663845,0.270983756953568
2017-06-28 03:56:00,102,0,0,0,0,108,0,0,210,0,0,210,65.5510219746623,225.593977663845,0.270983756953568
2017-06-28 03:57:00,102,0,0,0,0,108,0,0,210,0,0,210,65.5510219746623,225.593977663845,0.270983756953568
2017-06-28 03:58:00,102,0,0,0,0,108,0,0,210,0,0,210,65.5510219746623,225.593977663845,0.270983756953568
2017-06-28 03:59:00,102,0,0,0,0,108,0,0,210,0,0,210,65.5510219746623,225.593977663845,0.270983756953568
