Time,BA1_CFM,BA2_CFM,BA3_CFM,BA4_CFM,TO1_CFM,BA5_CFM,LAU_CFM,RHD_CFM,CDR_CFM,QCFM_Exhaust,QCFM_Supply,QCFM_MVbalance,QCFM_MVunbalance,QCFM_Infiltration,QCFM_Total,ACH
2017-03-23 20:19:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:20:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:21:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:22:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:23:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:24:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:25:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:26:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:27:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:28:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:29:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:30:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:31:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:32:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:33:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:34:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:35:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:36:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:37:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:38:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:39:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:40:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:41:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:42:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:43:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,71.59254532,161.5717916,0.230050023
2017-03-23 20:44:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
2017-03-23 20:45:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,71.59254532,161.5717916,0.230050023
2017-03-23 20:46:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,71.59254532,161.5717916,0.230050023
2017-03-23 20:47:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,71.59254532,161.5717916,0.230050023
2017-03-23 20:48:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,71.59254532,161.5717916,0.230050023
2017-03-23 20:49:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,71.59254532,161.5717916,0.230050023
2017-03-23 20:50:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,71.59254532,161.5717916,0.230050023
2017-03-23 20:51:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,71.59254532,161.5717916,0.230050023
2017-03-23 20:52:00,0,0,0,0,0,0,137,0,NA,137,0,0,137,72.15553718,161.8925829,0.230506773
